,AbsTime,RelTime,Cycle,m15.030 (B_m15.030) (Corr),m15.992 (B_m15.992) (Corr),m17.030 (B_m17.030) (Corr),m18.015 (B_m18.015) (Corr),m18.908 (B_m18.908) (Corr),m18.965 (B_m18.965) (Corr),m19.036 (B_m19.036) (Corr),m19.474 (B_m19.474) (Corr),m19.600 (B_m19.600) (Corr),m19.923 (B_m19.923) (Corr),m19.941 (B_m19.941) (Corr),m20.031 (B_m20.031) (Corr),m21.029 (B_m21.029) (Corr),m26.017 (B_m26.017) (Corr),m27.025 (B_m27.025) (Corr),m28.004 (B_m28.004) (Corr),m29.014 (B_m29.014) (Corr),m29.737 (B_m29.737) (Corr),m30.013 (B_m30.013) (Corr),m30.647 (B_m30.647) (Corr),m30.694 (B_m30.694) (Corr),m30.737 (B_m30.737) (Corr),m31.546 (B_m31.546) (Corr),m31.700 (B_m31.700) (Corr),m31.893 (B_m31.893) (Corr),m32.026 (B_m32.026) (Corr),m32.981 (B_m32.981) (Corr),m33.198 (B_m33.198) (Corr),m33.246 (B_m33.246) (Corr),m33.297 (B_m33.297) (Corr),m33.338 (B_m33.338) (Corr),m33.992 (B_m33.992) (Corr),m36.012 (B_m36.012) (Corr),m37.031 (B_m37.031) (Corr),m38.027 (B_m38.027) (Corr),m39.022 (B_m39.022) (Corr),m40.024 (B_m40.024) (Corr),m41.033 (B_m41.033) (Corr),m42.005 (B_m42.005) (Corr),m43.011 (B_m43.011) (Corr),m43.994 (B_m43.994) (Corr),m45.022 (B_m45.022) (Corr),m45.986 (B_m45.986) (Corr),m46.996 (B_m46.996) (Corr),m47.993 (B_m47.993) (Corr),m50.000 (B_m50.000) (Corr),m51.019 (B_m51.019) (Corr),m51.939 (B_m51.939) (Corr),m52.030 (B_m52.030) (Corr),m53.021 (B_m53.021) (Corr),m54.023 (B_m54.023) (Corr),m55.035 (B_m55.035) (Corr),m55.934 (B_m55.934) (Corr),m56.058 (B_m56.058) (Corr),m57.064 (B_m57.064) (Corr),m57.937 (B_m57.937) (Corr),m58.043 (B_m58.043) (Corr),m59.050 (B_m59.050) (Corr),m60.019 (B_m60.019) (Corr),m61.027 (B_m61.027) (Corr),m62.025 (B_m62.025) (Corr),m63.022 (B_m63.022) (Corr),m64.025 (B_m64.025) (Corr),m65.033 (B_m65.033) (Corr),m66.044 (B_m66.044) (Corr),m67.054 (B_m67.054) (Corr),m68.044 (B_m68.044) (Corr),m69.061 (B_m69.061) (Corr),m70.074 (B_m70.074) (Corr),m71.074 (B_m71.074) (Corr),m72.056 (B_m72.056) (Corr),m73.039 (B_m73.039) (Corr),m73.961 (B_m73.961) (Corr),m74.035 (B_m74.035) (Corr),m75.034 (B_m75.034) (Corr),m75.948 (B_m75.948) (Corr),m76.030 (B_m76.030) (Corr),m77.033 (B_m77.033) (Corr),m77.966 (B_m77.966) (Corr),m78.037 (B_m78.037) (Corr),m79.016 (B_m79.016) (Corr),m80.027 (B_m80.027) (Corr),m81.024 (B_m81.024) (Corr),m82.019 (B_m82.019) (Corr),m83.076 (B_m83.076) (Corr),m83.937 (B_m83.937) (Corr),m84.072 (B_m84.072) (Corr),m85.075 (B_m85.075) (Corr),m85.947 (B_m85.947) (Corr),m87.043 (B_m87.043) (Corr),m87.930 (B_m87.930) (Corr),m89.055 (B_m89.055) (Corr),m90.031 (B_m90.031) (Corr),m91.043 (B_m91.043) (Corr),m92.038 (B_m92.038) (Corr),m93.038 (B_m93.038) (Corr),m94.041 (B_m94.041) (Corr),m95.047 (B_m95.047) (Corr),m96.046 (B_m96.046) (Corr),m96.995 (B_m96.995) (Corr),m98.034 (B_m98.034) (Corr),m99.019 (B_m99.019) (Corr),m101.940 (B_m101.940) (Corr),m102.939 (B_m102.939) (Corr),m103.942 (B_m103.942) (Corr),m105.036 (B_m105.036) (Corr),m105.931 (B_m105.931) (Corr),m107.013 (B_m107.013) (Corr),m108.031 (B_m108.031) (Corr),m109.031 (B_m109.031) (Corr),m112.011 (B_m112.011) (Corr),m117.933 (B_m117.933) (Corr),m118.934 (B_m118.934) (Corr),m119.941 (B_m119.941) (Corr),m123.936 (B_m123.936) (Corr),m126.896 (B_m126.896) (Corr),m127.028 (B_m127.028) (Corr),m143.894 (B_m143.894) (Corr),m147.060 (B_m147.060) (Corr),m149.042 (B_m149.042) (Corr),m151.019 (B_m151.019) (Corr),m152.992 (B_m152.992) (Corr),m178.916 (B_m178.916) (Corr),m179.883 (B_m179.883) (Corr),m202.934 (B_m202.934) (Corr),m203.943 (B_m203.943) (Corr),m204.937 (B_m204.937) (Corr),m206.991 (B_m206.991) (Corr),m209.010 (B_m209.010) (Corr),m216.916 (B_m216.916) (Corr),m217.911 (B_m217.911) (Corr),m220.922 (B_m220.922) (Corr),m221.921 (B_m221.921) (Corr),m223.055 (B_m223.055) (Corr),m224.055 (B_m224.055) (Corr),m225.030 (B_m225.030) (Corr),m227.006 (B_m227.006) (Corr),m228.981 (B_m228.981) (Corr),m230.920 (B_m230.920) (Corr),m234.917 (B_m234.917) (Corr),m266.986 (B_m266.986) (Corr),m267.979 (B_m267.979) (Corr),m268.968 (B_m268.968) (Corr),m281.040 (B_m281.040) (Corr),m282.043 (B_m282.043) (Corr),m283.014 (B_m283.014) (Corr),m284.016 (B_m284.016) (Corr),m284.995 (B_m284.995) (Corr),m286.968 (B_m286.968) (Corr),m299.025 (B_m299.025) (Corr),m329.420 (B_m329.420) (Corr),m329.843 (B_m329.843) (Corr),m330.865 (B_m330.865) (Corr),m331.906 (B_m331.906) (Corr),m341.006 (B_m341.006) (Corr),m342.008 (B_m342.008) (Corr),m342.984 (B_m342.984) (Corr),m355.109 (B_m355.109) (Corr),m356.125 (B_m356.125) (Corr),m357.099 (B_m357.099) (Corr),m358.063 (B_m358.063) (Corr),m359.039 (B_m359.039) (Corr),m360.005 (B_m360.005) (Corr),m360.984 (B_m360.984) (Corr),m371.073 (B_m371.073) (Corr),m372.073 (B_m372.073) (Corr),m373.056 (B_m373.056) (Corr),m374.047 (B_m374.047) (Corr),m375.039 (B_m375.039) (Corr),m376.027 (B_m376.027) (Corr),m377.022 (B_m377.022) (Corr),m429.097 (B_m429.097) (Corr),m430.086 (B_m430.086) (Corr),m431.070 (B_m431.070) (Corr),m432.055 (B_m432.055) (Corr),m433.042 (B_m433.042) (Corr),m434.017 (B_m434.017) (Corr),m445.061 (B_m445.061) (Corr),m446.062 (B_m446.062) (Corr),m447.039 (B_m447.039) (Corr),m448.036 (B_m448.036) (Corr),m449.029 (B_m449.029) (Corr),E/N_Act [Td],p-Drift_Act [mbar],group_id
41,44841.9959,41.0,42.0,1447.5539999999999,51943.89,1948.214,1114.198,250.161,333.4957,219862.4,164.1681,83.38699,190.3894,83.38699,582.8959,844.3898,521.1696,578.2792,12802.84,2164.99,259.7172,5535724.0,721.3971,804.2363,983.2248,270.5665,1478.648,808.0996,3913934.0,26379.45,3632.467,4224.202,5357.613,6268.959,25685310.0,74.46461,480.7381,49.96583,261.9336,82.96645,158.4003,158.6713,1056.471,8611.907,210.349,26668.56,135.2907,159.2034,491.8789,859.4525,193.6722,2897.2529999999997,197.0199,54.70939,302.4718,287.9265,101.6037,42.01794,78.08035,46.973929999999996,11.992980000000001,31.25187,11.45357,37.3563,263.3672,57.35033000000001,12.86084,35.50935,57.47436999999999,110.5952,105.2613,28.780690000000003,18.84069,33.92837,39.25148,160.1801,88.77577,30.004140000000003,99.47365,55.44536,85.95936999999999,50.935520000000004,57.15363000000001,216.3017,335.5429,40.66871,35.53482,43.22189,131.0895,26.54901,23.05602,48.50195,13.51336,90.52901999999999,12.93062,421.0964,49.7081,8.136011,16.00046,139.7738,36.7315,23.57047,20.73692,20.44606,16.51191,145.0282,19.223110000000002,37.92733,30.689790000000002,284.6259,41.68738,134.3852,22.24125,121.6809,49.02108,14.710870000000002,32.04873,16.837429999999998,50.954679999999996,30.4434,54.0175,10.86705,15.118379999999998,7.688291,13.6426,129.1104,35.16401,2315.554,871.5031,41.0266,49.03188,6.003863,59.0385,11.00713,49.028420000000004,7.004507,6.003863,7.004507,11.0071,11.30415,6.003863,172.2304,10.00646,9.005794999999999,2.001288,7.958246000000001,48.03127,24.0155,16.00969,11.18688,3.423434,5.0032190000000005,9.005811,403.258,297501.0,17.01032,13508.29,12.00774,5.002576,12.00774,17.01098,11.00708,9.005794999999999,9.005794999999999,11.0071,14.00901,8.004507,8.005151,14.00901,7.004524000000001,11.00712,6.003863,11.00708,9.005794999999999,13.0084,8.005151,11.00708,6.0032190000000005,6.003863,9.068335000000001,1.0,6.003863,5.0032190000000005,5.00322,4.002575,113.0318,2.797517,                      Jar_BLK_48
42,44841.9959,42.0,43.0,1531.274,53215.99,3107.995,4928.117,263.3531,250.161,2092157.0,416.9363,416.9349,83.38699,0.0,1752.114,4902.090999999999,532.2349,306.7543,13782.84,5008.294,277.1152,5518851.0,964.3432,605.652,1085.652,260.1186,1454.9620000000002,742.0443,3981222.0,26340.41,3919.3979999999997,4608.87,5549.281,5856.906,24612680.0,139.6216,13225.56,49.96569,363.5571,27.223340000000004,135.1127,242.8324,1751.9270000000001,7973.531,436.3723,28445.29,267.0713,145.0927,880.7526,647.6448,144.0554,2540.521,201.7098,51.69952,306.1439,363.5755,92.4374,118.1923,46.35999,40.98621,51.969840000000005,66.41041,64.90373000000001,26.149279999999997,146.3286,21.50633,21.08244,27.565279999999998,47.33184,46.46796,107.6789,35.57612,53.382169999999995,18.5064,45.44035,205.3567,121.853,20.43609,112.8689,54.88581,158.6232,74.52745999999999,42.413109999999996,195.4127,240.9743,59.794940000000004,35.45565,39.5347,94.31591999999999,32.10201,23.57164,57.73267,12.93271,108.1928,8.68776,426.6516,55.92165,18.52055,20.00061,658.5682,117.9434,49.67866,33.93509,48.87175,10.284089999999999,189.2899,31.70865,34.540659999999995,34.10651,416.3229,40.873020000000004,237.286,30.9799,103.118,47.54051,42.94323,52.67677,42.09364,57.392219999999995,27.537879999999998,121.2668,8.237618,12.31547,9.197227,11.36883,100.8421,28.13118,1799.4260000000002,2517.597,63.46329,41.54257,10.00644,49.56358,12.00773,221.1432,18.934070000000002,13.007760000000001,12.00774,13.00837,12.007760000000001,10.00645,112.0917,15.009689999999999,11.00708,8.004507,8.005152,41.02305,10.00644,11.17907,18.26175,10.00644,6.003863,15.009689999999999,385.7495,300311.6,25.0155,8449.052,9.646832,4.002575,9.803199000000001,13.00837,12.00774,11.00708,3.8768510000000003,10.00644,9.005811999999999,5.002576,4.002575,6.895061999999999,9.005794999999999,8.005167,10.00645,6.00322,5.00322,9.005167,0.0,5.0032190000000005,9.005151,5.0032190000000005,5.002576,5.768694,7.004507,10.913269999999999,5.0032190000000005,4.001932,113.1436,2.797136,                      Jar_BLK_48
43,44841.9959,43.0,44.0,1412.215,48388.3,5715.813,14407.99,416.9363,1167.422,12920210.0,664.4914,833.8726,416.9349,166.774,5801.374,10926.48,327.7655,384.7962,11592.83,9910.622,268.4156,5320122.0,737.7628,720.1608,854.8593,225.3738,1280.072,745.1759,4067023.0,30408.73,4239.816,4914.3859999999995,5541.107,6301.66,22461580.0,344.4024,55173.91,117.8262,970.1476,75.42395,588.7708,394.5833,4385.488,7605.257,1905.405,30848.87,375.0381,149.5315,1564.1979999999999,537.7306,184.0044,2044.384,211.0915,27.35462,370.1147,311.5948,112.1513,184.6839,45.2042,53.810269999999996,363.8532,150.325,163.2748,29.88502,157.3029,33.26778,24.596239999999998,41.35116,213.8677,53.106190000000005,166.6582,47.96785,59.66235,41.6756,150.4517,190.2775,216.1881,213.4184,139.268,97.41619,337.3899,56.477709999999995,84.0943,193.7853,193.2684,77.644,53.48866999999999,45.02673,38.7401,44.349140000000006,33.000370000000004,46.19231,36.03566,55.20045,10.77555,291.6987,58.89103000000001,68.21902,61.408390000000004,1670.1270000000002,234.7063,44.19287,41.954879999999996,44.188559999999995,30.322129999999998,190.1933,66.40120999999999,48.35706,88.67771,562.8331,61.69751,447.6356,45.40613,76.17204,17.787029999999998,35.73715,119.461,70.15129,71.05714,30.02764,180.1783,10.591239999999999,22.096120000000003,16.09515,17.10213,86.71122,23.104129999999998,1447.431,5438.35,113.096,55.16076999999999,17.01096,45.81098,18.01161,598.5548,36.02328,22.014229999999998,6.26966,40.151,17.32366,10.00645,62.69696,27.0174,11.00708,10.00644,9.005794999999999,62.0404,30.019379999999998,24.343870000000003,8.005151,4.0019480000000005,9.005151,13.0084,397.0111,298088.9,52.03005,8549.954,7.004523,6.00322,7.004523,19.88781,7.551089999999999,8.004522999999999,5.0032190000000005,17.01096,9.005811,12.00774,10.00646,6.0038800000000005,5.00322,5.0032190000000005,6.00322,8.958905,5.002576,7.004557000000001,6.003863,9.005827,6.0038800000000005,5.002575,7.317208,4.001932,3.001288,7.003863000000001,4.002575,3.000644,112.7887,2.796373,                      Jar_BLK_48
44,44841.9959,44.0,45.0,2480.5,48835.38,7251.986999999999,14361.73,333.5493,750.487,14695090.0,435.3387,667.0972,667.0972,166.774,7337.173000000001,11347.4,364.8526,528.6711,11214.54,11440.27,214.663,5401230.0,742.5967,740.5396,845.1393,277.6148,1557.3470000000002,818.1512,3966824.0,30762.28,4251.079000000001,5460.973000000001,5988.164000000001,6195.356,21907720.0,358.8774,64461.65,158.3233,949.8527,98.05118,669.7708,471.3345,4880.435,7492.649,2256.772,30952.0,365.6328,225.5958,1755.882,491.9913,164.6349,1901.279,206.255,59.26865,343.8761,242.3512,119.3125,201.6876,78.08006,77.87376,444.5092,108.0699,206.2564,22.41367,175.594,43.01266,31.623720000000002,37.90535,280.39,118.5164,185.6835,73.05121,57.172180000000004,27.759690000000003,184.8633,164.1237,252.9142,292.0452,131.9938,85.91028,369.349,69.89085,124.0419,237.0084,193.6397,72.85773,58.02114,64.24391999999999,47.35644,45.85752,58.92934,38.92974,24.77449,46.36829,23.70617,295.1223,64.20628,59.876459999999994,54.0018,1951.7279999999998,287.4076,43.946529999999996,49.01735,60.51065,33.68318,207.2792,57.66965,47.26406,70.21194,539.9578,65.33208,410.8881,48.92836,98.02282,23.770220000000002,57.37256,102.1106,71.55975,49.19323,25.87969,154.7992,10.95899,37.8324,13.795810000000001,14.7795,66.54576,31.14527,1390.2089999999998,6004.52,123.5929,57.510490000000004,22.85069,51.033229999999996,27.01747,610.5328,22.01427,24.01555,8.224041999999999,45.34189,12.50023,11.00644,59.03836999999999,27.01748,6.003863,5.003236,5.00322,103.1221,26.01684,26.016820000000003,10.00645,8.005151,7.004507,16.432479999999998,359.1474,304215.2,61.03606,7994.132,14.00903,2.000644,7.004507,25.6885,17.76144,11.8123,9.005794999999999,13.96212,9.02143,12.00773,7.8175300000000005,5.0032190000000005,11.00708,10.00644,8.005151,7.004507,7.004507,9.005844,8.841626,7.004507,6.003863,7.004507,4.001932,6.003863,7.0025759999999995,2.000644,6.003863,8.005151,113.2208,2.795228,                      Jar_BLK_48
45,44841.9959,45.0,46.0,1943.97,49995.98,6097.063,16743.3,1417.5929999999998,638.2701,15404230.0,403.5814,490.7142,833.8712,499.019,7057.049,13407.44,575.1707,400.2522,11869.08,10900.09,176.4948,5507034.0,920.8831,751.8686,998.9365,227.0991,1459.5810000000001,816.9784,3969335.0,31622.93,4021.867,4410.032,6299.269,6123.158,21505340.0,281.5349,69818.97,158.2254,1008.702,63.04963000000001,627.5861,364.1426,5066.2609999999995,7414.965,2419.008,31291.85,443.8126,208.6111,1739.549,480.0341,184.6382,1752.78,202.4246,32.61718,329.6205,284.4695,144.8826,248.0394,24.6568,102.0093,382.4917,158.8698,240.5872,29.88502,204.86,66.38837,21.0825,31.013370000000002,243.5095,65.10542,106.7942,66.98631,72.22291,61.68801,187.7925,169.7661,228.7209,281.3404,141.8909,85.95537,391.1245,102.1302,126.7336,238.6989,211.9036,100.1798,43.05328,61.657830000000004,41.16131,34.110279999999996,55.5039,32.33457,31.53125,57.40823,19.09287,269.6985,63.54306,95.59895,44.782779999999995,1864.6979999999999,312.355,61.14309,49.00284,81.78485,51.370540000000005,226.7746,38.44632,58.71933000000001,85.26122,531.3276,64.7588,395.2792,45.030429999999996,101.0448,25.2559,64.72816,122.3796,63.074780000000004,65.59111999999999,26.615409999999997,175.707,10.84865,41.86635,16.184929999999998,14.779520000000002,74.61972,38.17822,1389.2820000000002,6058.076999999999,132.3522,69.43588000000001,18.01161,54.37145,15.76016,629.9508,37.02394,16.01032,7.004507,40.10406,12.00773,6.746528,55.03576999999999,25.28978,14.00901,3.001288,11.00644,95.06218,27.017529999999997,26.01676,10.00645,8.003863,2.000644,26.01676,387.4625,300053.2,43.02021,7791.326999999999,5.0032190000000005,10.00644,6.887244,52.0337,16.0103,19.01225,13.00837,11.00708,12.007760000000001,14.00905,7.004507,7.004507,3.001288,10.00644,7.0038800000000005,8.004507,6.003863,7.700267,8.005152,6.00322,13.00837,0.0,7.004507,6.00322,2.0,5.002575,7.004507,3.000644,112.9622,2.794466,                      Jar_BLK_48
46,44841.9959,46.0,47.0,1594.3029999999999,48750.12,6724.271,16488.42,500.3219,618.0748,15807670.0,1047.877,1134.85,500.3219,333.5479,7753.363,12874.94,294.5724,237.3681,11456.34,11073.87,147.4873,5397290.0,727.3859,651.602,788.9226,353.2648,1463.995,721.9748,3985828.0,30982.01,4011.597,4866.376,5537.339,5602.464,21477370.0,335.0944,70713.37,113.4315,733.2003,75.42384,532.5952,420.8065,5534.243,7952.096,2217.714,30809.91,452.6713,164.6934,1638.858,477.312,164.7018,1533.376,168.2773,54.70939,363.56,272.014,137.5361,214.2361,53.896809999999995,127.0575,403.9034,139.0244,259.6049,29.884890000000002,142.6699,39.428329999999995,45.67868,34.45942,240.0437,96.255,136.8884,70.35285,65.94279,24.67514,155.4569,195.6011,229.1081,227.7202,97.5475,64.04079,443.54,95.27247,110.2591,224.422,198.5728,88.03638000000001,50.65112,79.06968,60.531690000000005,21.72189,36.55448,27.71535,31.53125,72.82999000000001,26.06339,273.1664,76.63353000000001,61.02086,84.00299,1947.989,306.4528,49.94757,47.13223,88.02915,40.362590000000004,270.3904,47.18405,63.90044,83.55558,510.407,71.70238,415.5453,32.40657,98.70149,17.82763,53.09724,128.572,77.81886,72.57316,38.217209999999994,116.4426,8.237619,50.00721,21.84345,10.23197,75.62014,27.126590000000004,1439.62,6272.665,136.1551,54.722919999999995,25.01615,47.4995,21.57645,642.1903,22.01422,12.00773,9.005167,39.46308,15.00971,10.00645,58.03779,33.02131,12.00773,6.910697,9.002248,108.0508,34.02207,23.01484,10.319139999999999,9.005794999999999,4.533825,32.02074,369.5316,301614.3,61.035830000000004,7818.5380000000005,9.005794999999999,8.003863,8.005151,41.02666,23.01489,20.763379999999998,7.004507,8.005151,13.96212,7.004507,11.00646,3.001932,3.000644,7.0038800000000005,8.005151,10.00644,5.00322,7.003863000000001,8.005151,5.0032190000000005,8.005151,8.005167,2.0,7.004507,8.003864,2.000644,5.0032190000000005,8.005151,112.8195,2.79561,                      Jar_BLK_48
47,44841.9959,47.0,48.0,1952.809,46180.29,5670.491,14267.45,551.463,1384.364,16018560.0,926.2158,742.3409,416.9363,250.161,6973.415,13748.41,294.4842,394.9944,10988.23,11540.65,191.7332,5438068.0,802.857,828.8678,976.1801,256.1762,1253.048,737.1014,4075768.0,31246.44,4321.335999999999,4649.182,6135.8730000000005,5981.99,21641220.0,288.5527,73839.16,129.6641,926.1567,47.96476,613.6135,415.5759,5120.161,7299.018,2227.763,30323.26,385.5143,151.5906,1682.866,521.9195,220.5871,1910.818,227.8213,41.03201,320.9489,343.1079,125.108,186.2428,49.31367,120.3969,442.4912,155.5433,309.2943,29.88495,167.4789,25.09072,38.65137,47.67768,234.8543,96.7863,171.672,35.17634,91.06356,50.266009999999994,183.018,165.3214,249.095,269.5149,155.6563,105.3624,523.4379,77.28753,104.7462,218.4343,198.665,91.1434,68.37894,82.77617,48.42519,20.845129999999997,41.01097,43.61202,27.158759999999997,61.2464,21.33219,293.865,80.77591,79.32663000000001,68.00216999999999,2030.899,281.9681,63.053830000000005,27.262959999999996,70.63226999999999,38.52791,226.4031,49.382290000000005,46.629979999999996,69.91869,571.09,58.01055,447.7015,44.02415,82.09884,7.428171000000001,50.01704,134.6382,77.17191,50.9227,23.107110000000002,132.5259,10.931389999999999,49.76192,12.66412,15.916360000000001,78.64548,25.11648,1377.753,6609.219,130.1403,59.62299,17.01096,43.45429,24.01549,600.7993,27.830509999999997,27.01742,12.00774,53.030930000000005,22.014210000000002,14.00903,44.73942,37.024,9.005794999999999,5.00322,8.005151,98.06783,25.01616,23.014879999999998,10.00644,5.0032190000000005,8.005151,20.91974,385.4436,299324.2,52.03009,8050.541,10.600589999999999,6.003863,9.005794999999999,76.04956,25.01621,23.01491,11.827919999999999,10.00649,12.007760000000001,8.005151,6.863791,11.00708,11.00708,7.004507,11.00712,7.473563,8.005151,3.001932,7.004523,9.005811999999999,8.004539999999999,3.001932,7.003863000000001,4.001932,5.002592,3.000644,5.002576,7.003863000000001,113.3794,2.794466,                      Jar_BLK_48
48,44841.996,48.0,49.0,1755.7020000000002,46889.82,6193.715999999999,16222.62,500.326,638.2714,16334290.0,1059.606,917.2623,166.774,333.5479,6892.485,13311.37,203.9348,548.1439,11180.77,11509.11,237.0761,5386554.0,947.932,587.9583,857.5987,340.6492,1202.017,769.9515,3964090.0,30654.65,4053.692,5068.753,6073.972,6055.812,21828060.0,297.8615,76919.84,175.1414,849.6146,105.5938,584.8343,491.9717,5723.129,7406.4619999999995,2364.083,30776.49,524.1787,145.5023,1630.852,506.9796,194.939,1878.79,180.8027,36.47283,392.2992,268.3022,163.9144,233.1854,49.31367,76.78494,344.9573,173.2904,301.6154,37.356120000000004,160.9485,22.94848,61.32605,42.09174,238.5784,82.97825999999999,175.9104,33.24041,69.08275,43.18155,169.6458,185.8097,268.1562,274.9661,152.0916,74.62867,437.6439,92.82477,115.772,212.2039,187.9917,85.71908,56.31971,61.77316999999999,43.5826,30.88601,40.07181,36.53893,42.79242,30.912090000000003,36.63687,281.302,87.76624,61.878519999999995,74.00264,2146.876,358.4727,53.50014,50.90279,91.07858,23.85053,185.4488,47.49135,57.51164,63.8634,497.4146,50.82605,425.7501,63.59035,93.35445,20.79893,65.0442,125.2883,77.1721,42.36096,24.56798,116.4518,7.488327000000001,34.55706,6.897925,14.7795,69.43257,24.11244,1356.7160000000001,6403.166,129.5231,50.032540000000004,21.01357,50.03249,22.01425,640.7285,33.02153,22.0142,16.01037,40.02599,14.41554,11.00713,53.80067,31.02005,13.00837,9.005151,8.005151,105.0444,29.15955,24.0155,12.007760000000001,8.004522999999999,3.001932,21.01355,409.3774,294638.2,69.03442,7841.719,8.005151,7.004507,10.00645,282.6364,59.03836,46.74901,18.98098,10.00644,8.005167,15.00966,15.00966,11.78885,13.008389999999999,10.92891,11.00708,6.0032190000000005,6.316564,7.003863000000001,11.00644,10.00581,8.005152,6.003863,6.0038800000000005,8.005167,7.72372,4.001932,3.001288,2.000644,113.0744,2.7948470000000003,                      Jar_BLK_48
49,44841.996,49.0,50.0,2001.3110000000001,47779.87,4124.8,16013.8,782.0801,667.1,16549870.0,1334.1970000000001,1000.6469999999999,333.5479,308.3039,6553.172,13097.22,475.8489,276.9293,10614.31,11502.08,173.5281,5420720.0,834.2008,648.6599,788.9891,412.0127,1462.443,883.7791,3928290.0,32111.42,4034.41,5121.903,5866.2,6044.723000000001,21577250.0,428.1756,76817.8,102.664,897.9893,82.96619,578.0537,429.2694,5541.633000000001,7765.444,2593.319,31292.06,364.0079,187.8961,1682.8729999999998,472.1181,154.7991,1778.0970000000002,198.6863,63.8276,407.3536,272.645,161.3362,205.5773,41.09493,102.4657,442.2072,191.4203,267.4037,47.70207,135.3534,32.76361,42.16494,43.61267,206.2339,86.29753000000001,163.4017,60.7593,43.961659999999995,40.09726,150.309,197.3509,344.4585,335.6455,183.6481,96.09534000000001,576.8994,116.9882,136.1659,232.5432,225.0597,82.99706,45.58591,70.03511999999999,21.79126,36.20319,22.927210000000002,39.26348,38.1384,59.61628,25.86131,323.9738,103.559,56.952290000000005,79.58972,2046.68,394.0995,51.58941,49.017509999999994,96.65517,47.701240000000006,213.4604,54.4339,67.35455999999999,86.97222,509.7735,60.329530000000005,464.771,35.87147,75.78355,19.31324,44.14423,132.5828,72.42549,53.28794,25.1438,125.083,7.695245,53.85031,12.6282,13.642610000000001,72.53251999999999,26.12187,1357.515,6588.246999999999,135.1523,55.03586,21.013560000000002,50.76737,24.0155,603.6148,21.01354,18.01162,6.003863,46.14718,20.01291,5.0032190000000005,46.921079999999996,25.01612,18.75427,6.003863,4.001932,107.9725,30.01935,38.33723,14.00906,9.005811,4.001932,22.014210000000002,407.2039,298037.0,56.03173,7896.348000000001,11.5074,9.005794999999999,5.002576,922.2666,159.1881,115.0508,27.01745,10.819460000000001,7.168675,5.0032190000000005,17.01098,7.003863000000001,38.02468,15.009670000000002,12.00774,11.0071,10.00644,6.00322,7.004507,7.004507,5.00322,6.003863,5.00322,6.003863,7.988882,6.003863,5.001932,6.00322,113.1709,2.7948470000000003,                      Jar_BLK_48
50,44841.996,50.0,51.0,2571.3379999999997,44294.88,6205.658,18959.87,500.3219,1167.422,16450980.0,750.4856,750.4856,333.5479,333.5479,8127.206999999999,12724.55,249.2536,391.596,11280.52,11723.85,188.2196,5537074.0,889.0134,646.9623,669.3113,158.8906,1278.511,798.8158,3994020.0,31405.52,4342.63,4692.544,5506.044,5671.885,21910220.0,363.0195,78983.8,166.5527,960.3293,80.31468000000001,626.8011,511.9167,5880.849,7730.5,2443.792,31267.2,439.1048,197.6321,1665.243,487.0673,169.4778,1633.134,170.7604,59.26857,383.1299,279.9306,194.1093,222.6826,57.53259,57.38054,341.8344,164.0745,296.2614,29.88495,189.1416,14.33755,38.651140000000005,51.68907,239.5417,109.5318,175.7706,51.165690000000005,68.40811,46.26589,166.0593,175.1543,301.8684,280.7935,120.7044,103.7842,519.6591,98.20535,109.1499,255.6826,240.9747,83.22991,40.50295,82.40919,38.7401,33.78972,38.7644,30.025,26.446140000000003,68.28461999999999,10.851280000000001,285.1433,68.34864,75.25845,58.001909999999995,2084.221,380.3793,44.021190000000004,45.24689,81.77826999999999,51.370540000000005,187.5149,59.3556,44.90297,104.7251,551.0566,76.70503000000001,440.3707,45.65469,61.574059999999996,23.85727,60.309709999999995,107.7964,67.35011,43.72726,17.802220000000002,118.0884,11.76805,46.0685,14.649070000000002,17.05326,64.37546999999999,19.97983,1414.027,6569.4890000000005,120.1189,56.03645,15.00966,43.02795,23.01491,666.2964,31.97382,19.01225,6.003863,65.04233,19.856579999999997,11.00708,49.031890000000004,29.018759999999997,19.012320000000003,9.005794999999999,6.003863,89.05827,25.09437,24.156270000000003,8.005151,10.00645,7.0038800000000005,28.018079999999998,360.6319,300782.9,49.02768,8029.057,9.005811,7.661196,8.005167,1908.234,306.516,220.3608,56.78678000000001,19.887829999999997,20.012929999999997,8.005151,14.00901,7.004507,41.02653,15.00966,10.00644,10.00645,6.003863,7.004507,5.0032190000000005,6.00322,3.048837,10.00644,8.004507,3.001288,4.001932,5.00322,5.002592,8.005151,112.9624,2.795228,                      Jar_BLK_48
